x,y,id,area_m
93.5,-40.5,5,9412789248
94.5,-40.5,5,9412789248
95.5,-40.5,5,9412789248
96.5,-40.5,5,9412789248
97.5,-40.5,5,9412789248
98.5,-40.5,5,9412789248
99.5,-40.5,5,9412789248
100.5,-40.5,5,9412789248
101.5,-40.5,5,9412789248
102.5,-40.5,5,9412789248
103.5,-40.5,5,9412789248
104.5,-40.5,5,9412789248
105.5,-40.5,5,9412789248
106.5,-40.5,5,9412789248
107.5,-40.5,5,9412789248
108.5,-40.5,5,9412789248
109.5,-40.5,5,9412789248
110.5,-40.5,5,9412789248
111.5,-40.5,5,9412789248
112.5,-40.5,5,9412789248
113.5,-40.5,5,9412789248
114.5,-40.5,5,9412789248
115.5,-40.5,8,9412789248
116.5,-40.5,8,9412789248
117.5,-40.5,8,9412789248
118.5,-40.5,8,9412789248
119.5,-40.5,8,9412789248
120.5,-40.5,8,9412789248
121.5,-40.5,8,9412789248
122.5,-40.5,8,9412789248
123.5,-40.5,8,9412789248
124.5,-40.5,8,9412789248
125.5,-40.5,8,9412789248
126.5,-40.5,8,9412789248
127.5,-40.5,8,9412789248
128.5,-40.5,8,9412789248
129.5,-40.5,8,9412789248
130.5,-40.5,8,9412789248
131.5,-40.5,8,9412789248
-166.5,-41.5,14,9273189376
-165.5,-41.5,14,9273189376
-164.5,-41.5,14,9273189376
-163.5,-41.5,14,9273189376
-162.5,-41.5,14,9273189376
-161.5,-41.5,14,9273189376
-160.5,-41.5,14,9273189376
-159.5,-41.5,14,9273189376
-158.5,-41.5,14,9273189376
-157.5,-41.5,14,9273189376
-156.5,-41.5,14,9273189376
-155.5,-41.5,14,9273189376
-154.5,-41.5,14,9273189376
-153.5,-41.5,14,9273189376
-152.5,-41.5,14,9273189376
-151.5,-41.5,14,9273189376
-150.5,-41.5,14,9273189376
-149.5,-41.5,14,9273189376
-148.5,-41.5,14,9273189376
-147.5,-41.5,14,9273189376
-146.5,-41.5,14,9273189376
-145.5,-41.5,14,9273189376
-144.5,-41.5,14,9273189376
-143.5,-41.5,14,9273189376
-142.5,-41.5,14,9273189376
-141.5,-41.5,14,9273189376
-140.5,-41.5,14,9273189376
-139.5,-41.5,14,9273189376
-138.5,-41.5,14,9273189376
-137.5,-41.5,14,9273189376
-136.5,-41.5,14,9273189376
-135.5,-41.5,14,9273189376
-134.5,-41.5,14,9273189376
-133.5,-41.5,14,9273189376
-132.5,-41.5,14,9273189376
-131.5,-41.5,14,9273189376
-130.5,-41.5,14,9273189376
-129.5,-41.5,14,9273189376
-128.5,-41.5,14,9273189376
