x,y,Name,area_m
50.5,-47.5,5,8376498688
51.5,-47.5,5,8376498688
52.5,-47.5,5,8376498688
53.5,-47.5,5,8376498688
54.5,-47.5,5,8376498688
55.5,-47.5,5,8376498688
56.5,-47.5,5,8376498688
57.5,-47.5,5,8376498688
58.5,-47.5,5,8376498688
59.5,-47.5,5,8376498688
60.5,-47.5,6,8376498688
61.5,-47.5,6,8376498688
62.5,-47.5,6,8376498688
63.5,-47.5,6,8376498688
64.5,-47.5,6,8376498688
65.5,-47.5,6,8376498688
66.5,-47.5,6,8376498688
67.5,-47.5,6,8376498688
68.5,-47.5,6,8376498688
69.5,-47.5,6,8376498688
70.5,-47.5,6,8376498688
71.5,-47.5,6,8376498688
72.5,-47.5,6,8376498688
73.5,-47.5,6,8376498688
74.5,-47.5,6,8376498688
75.5,-47.5,6,8376498688
76.5,-47.5,6,8376498688
77.5,-47.5,6,8376498688
78.5,-47.5,6,8376498688
79.5,-47.5,6,8376498688
80.5,-47.5,6,8376498688
30.5,-48.5,5,8217589760
31.5,-48.5,5,8217589760
32.5,-48.5,5,8217589760
33.5,-48.5,5,8217589760
34.5,-48.5,5,8217589760
35.5,-48.5,5,8217589760
36.5,-48.5,5,8217589760
37.5,-48.5,5,8217589760
38.5,-48.5,5,8217589760
39.5,-48.5,5,8217589760
40.5,-48.5,5,8217589760
41.5,-48.5,5,8217589760
42.5,-48.5,5,8217589760
43.5,-48.5,5,8217589760
44.5,-48.5,5,8217589760
45.5,-48.5,5,8217589760
46.5,-48.5,5,8217589760
47.5,-48.5,5,8217589760
48.5,-48.5,5,8217589760
49.5,-48.5,5,8217589760
50.5,-48.5,5,8217589760
51.5,-48.5,5,8217589760
52.5,-48.5,5,8217589760
53.5,-48.5,5,8217589760
54.5,-48.5,5,8217589760
55.5,-48.5,5,8217589760
56.5,-48.5,5,8217589760
57.5,-48.5,5,8217589760
58.5,-48.5,5,8217589760
59.5,-48.5,5,8217589760
60.5,-48.5,6,8217589760
61.5,-48.5,6,8217589760
62.5,-48.5,6,8217589760
63.5,-48.5,6,8217589760
64.5,-48.5,6,8217589760
65.5,-48.5,6,8217589760
66.5,-48.5,6,8217589760
67.5,-48.5,6,8217589760
68.5,-48.5,6,8217589760
69.5,-48.5,6,8217589760
70.5,-48.5,6,8217589760
71.5,-48.5,6,8217589760
72.5,-48.5,6,8217589760
73.5,-48.5,6,8217589760
74.5,-48.5,6,8217589760
75.5,-48.5,6,8217589760
76.5,-48.5,6,8217589760
77.5,-48.5,6,8217589760
78.5,-48.5,6,8217589760
79.5,-48.5,6,8217589760
80.5,-48.5,6,8217589760
-50.5,-49.5,2,8056095232
-49.5,-49.5,2,8056095232
-48.5,-49.5,2,8056095232
-47.5,-49.5,2,8056095232
-46.5,-49.5,2,8056095232
-45.5,-49.5,2,8056095232
-44.5,-49.5,2,8056095232
-43.5,-49.5,2,8056095232
-42.5,-49.5,2,8056095232
-41.5,-49.5,2,8056095232
-40.5,-49.5,2,8056095232
-39.5,-49.5,2,8056095232
-38.5,-49.5,2,8056095232
-37.5,-49.5,2,8056095232
-36.5,-49.5,2,8056095232
-35.5,-49.5,2,8056095232
-34.5,-49.5,2,8056095232
-33.5,-49.5,2,8056095232
-32.5,-49.5,2,8056095232
-31.5,-49.5,2,8056095232
-30.5,-49.5,2,8056095232
-29.5,-49.5,2,8056095232
-28.5,-49.5,2,8056095232
-27.5,-49.5,2,8056095232
-26.5,-49.5,2,8056095232
-25.5,-49.5,2,8056095232
-24.5,-49.5,2,8056095232
-23.5,-49.5,2,8056095232
-22.5,-49.5,2,8056095232
-21.5,-49.5,2,8056095232
-20.5,-49.5,2,8056095232
-19.5,-49.5,4,8056095232
-18.5,-49.5,4,8056095232
-17.5,-49.5,4,8056095232
-16.5,-49.5,4,8056095232
-15.5,-49.5,4,8056095232
-14.5,-49.5,4,8056095232
-13.5,-49.5,4,8056095232
-12.5,-49.5,4,8056095232
-11.5,-49.5,4,8056095232
-10.5,-49.5,4,8056095232
-9.5,-49.5,4,8056095232
-8.5,-49.5,4,8056095232
-7.5,-49.5,4,8056095232
-6.5,-49.5,4,8056095232
-5.5,-49.5,4,8056095232
-4.5,-49.5,4,8056095232
-3.5,-49.5,4,8056095232
-2.5,-49.5,4,8056095232
-1.5,-49.5,4,8056095232
-0.5,-49.5,4,8056095232
